INFO 2013-04-19 02:10:22,149 models 4574 140359092004608 Success for hour 9
INFO 2013-04-19 02:10:22,169 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:22,671 models 4574 140359092004608 Success for hour 10
INFO 2013-04-19 02:10:22,690 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:23,191 models 4574 140359092004608 Success for hour 11
INFO 2013-04-19 02:10:23,209 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:23,710 models 4574 140359092004608 Success for hour 12
INFO 2013-04-19 02:10:23,726 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:24,227 models 4574 140359092004608 Success for hour 13
INFO 2013-04-19 02:10:24,249 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:24,750 models 4574 140359092004608 Success for hour 14
INFO 2013-04-19 02:10:24,759 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:25,260 models 4574 140359092004608 Success for hour 15
INFO 2013-04-19 02:10:25,271 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:25,772 models 4574 140359092004608 Success for hour 16
INFO 2013-04-19 02:10:25,784 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:26,285 models 4574 140359092004608 Success for hour 17
INFO 2013-04-19 02:10:26,303 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:26,804 models 4574 140359092004608 Success for hour 18
INFO 2013-04-19 02:10:26,816 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:27,317 models 4574 140359092004608 Success for hour 19
INFO 2013-04-19 02:10:27,329 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:27,830 models 4574 140359092004608 Success for hour 20
INFO 2013-04-19 02:10:27,852 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:28,353 models 4574 140359092004608 Success for hour 21
INFO 2013-04-19 02:10:28,369 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:28,870 models 4574 140359092004608 Success for hour 22
INFO 2013-04-19 02:10:28,873 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results23.htm
INFO 2013-04-19 02:10:29,012 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 23
INFO 2013-04-19 02:10:29,012 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:29,012 models 4574 140359092004608 No data for this hour (yet?): 23
INFO 2013-04-19 02:10:29,513 models 4574 140359092004608 Success for hour 23
INFO 2013-04-19 02:10:29,517 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results24.htm
INFO 2013-04-19 02:10:29,570 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 24
INFO 2013-04-19 02:10:29,570 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:29,570 models 4574 140359092004608 No data for this hour (yet?): 24
INFO 2013-04-19 02:10:30,071 models 4574 140359092004608 Success for hour 24
INFO 2013-04-19 02:10:30,102 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:30,603 models 4574 140359092004608 Success for hour 25
INFO 2013-04-19 02:10:30,622 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:31,123 models 4574 140359092004608 Success for hour 26
INFO 2013-04-19 02:10:31,143 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:31,644 models 4574 140359092004608 Success for hour 27
INFO 2013-04-19 02:10:31,648 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results28.htm
INFO 2013-04-19 02:10:31,762 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 28
INFO 2013-04-19 02:10:31,762 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:31,762 models 4574 140359092004608 No data for this hour (yet?): 28
INFO 2013-04-19 02:10:32,263 models 4574 140359092004608 Success for hour 28
INFO 2013-04-19 02:10:32,267 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results29.htm
INFO 2013-04-19 02:10:32,319 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 29
INFO 2013-04-19 02:10:32,320 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:32,320 models 4574 140359092004608 No data for this hour (yet?): 29
INFO 2013-04-19 02:10:32,821 models 4574 140359092004608 Success for hour 29
INFO 2013-04-19 02:10:32,822 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results30.htm
INFO 2013-04-19 02:10:32,874 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 30
INFO 2013-04-19 02:10:32,874 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:32,874 models 4574 140359092004608 No data for this hour (yet?): 30
INFO 2013-04-19 02:10:33,375 models 4574 140359092004608 Success for hour 30
INFO 2013-04-19 02:10:33,385 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:33,886 models 4574 140359092004608 Success for hour 31
INFO 2013-04-19 02:10:33,888 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results32.htm
INFO 2013-04-19 02:10:33,937 models 4574 140359092004608 Checking for hour 54 page. Yr: 2009, Hr: 32
INFO 2013-04-19 02:10:33,938 models 4574 140359092004608 Hour 54 Finals: 
INFO 2013-04-19 02:10:33,938 models 4574 140359092004608 No data for this hour (yet?): 32
INFO 2013-04-19 02:10:34,438 models 4574 140359092004608 Success for hour 32
INFO 2013-04-19 02:10:34,450 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:34,951 models 4574 140359092004608 Success for hour 33
INFO 2013-04-19 02:10:34,963 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:35,464 models 4574 140359092004608 Success for hour 34
INFO 2013-04-19 02:10:35,476 models 4574 140359092004608 Already in DB
INFO 2013-04-19 02:10:35,977 models 4574 140359092004608 Success for hour 35
INFO 2013-04-19 02:10:35,980 models 4574 140359092004608 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results36.htm
